ID,airport_name,type,country,lat,long,elevation,service
HCMK,Kismayo Airport,medium_airport,SO,-0.377353,42.459202,49.0,no
HCMM,Aden Adde International Airport,large_airport,SO,2.01444,45.304699,29.0,yes
HCMN,Beledweyne Airport,small_airport,SO,4.766976,45.2388,559.0,yes
HCMO,Hobyo Airport,small_airport,SO,5.358003,48.515281,65.0,no
HCMR,Galcaio Airport,small_airport,SO,6.78082990646,47.45470047,975.0,yes
HCMS,Iskushuban Airport,small_airport,SO,10.313889,50.205556,1121.0,no
HCMU,Erigavo Airport,small_airport,SO,10.642050549,47.3879814148,5720.0,no
HCMV,Burao Airport,small_airport,SO,9.5275,45.5549,3400.0,no
HCMW,Garowe Airport,small_airport,SO,8.458474,48.568136,1465.0,yes
HDAG,Assa-Gueyla Airport,small_airport,DJ,12.188882,42.637494,2050.0,no
HDAM,Djibouti-Ambouli Airport,large_airport,DJ,11.5473,43.1595,49.0,yes
HDAS,Ali-Sabieh Airport,small_airport,DJ,11.146889,42.72,2313.0,no
HDCH,Chabelley Airport,small_airport,DJ,11.5168,43.061401,279.0,no
HDDK,Dikhil Airport,small_airport,DJ,11.097958,42.350556,1520.0,no
HDHE,Herkale Airport,small_airport,DJ,12.4449,43.292575,38.0,no
HDMO,Moucha Airport,small_airport,DJ,11.72975,43.209559,,no
HKAM,Amboseli Airport,medium_airport,KE,-2.644786,37.252922,3755.0,yes
HKBR,Bura East Airport,small_airport,KE,-1.097737,39.949247,345.0,no
HKEL,Eldoret International Airport,large_airport,KE,0.404458,35.238899,6941.0,yes
HKEM,Embu Airport,small_airport,KE,-0.574823,37.496961,4150.0,no
HKES,Eliye Springs Airport,small_airport,KE,3.236405,35.974938,1395.0,no
HKEW,El Wak Airport,small_airport,KE,2.814204,40.855389,,no
HKFG,Kalokol Airport,small_airport,KE,3.49161,35.836777,1245.0,no
HKGA,Garissa Airport,small_airport,KE,-0.463508,39.6483,475.0,no
HKGT,Garba Tula Airport,small_airport,KE,0.520716,38.516052,2000.0,no
HKHB,Homa Bay Airport,small_airport,KE,-0.587322,34.476467,4280.0,no
HKHO,Hola Airport,small_airport,KE,-1.521276,40.003621,195.0,no
HKIS,Isiolo Airport,small_airport,KE,0.338171,37.591694,3495.0,no
HKJK,Jomo Kenyatta International Airport,large_airport,KE,-1.318886,36.928233,5330.0,yes
HKKB,Kiambere Airport,small_airport,KE,-0.635825,37.877236,2450.0,no
HKKE,Keekorok Airport,small_airport,KE,-1.586345,35.257455,5800.0,no
HKKG,Kakamega Airport,small_airport,KE,0.271353,34.78812,5020.0,no
